Code,Temperature,Damage,Species,Genotype
35,4,0,TEGM,1400-77 E
35,4,0,TEGM,1400-77 E
36,-80,1,TEGM,531-94 A
36,-80,1,TEGM,531-94 A
36,-80,1,TEGM,531-94 A
36,-40,1,TEGM,531-94 A
36,-40,1,TEGM,531-94 A
36,-40,0.75,TEGM,531-94 A
36,-30,1,TEGM,531-94 A
36,-30,1,TEGM,531-94 A
36,-30,0.75,TEGM,531-94 A
36,-20,0.5,TEGM,531-94 A
36,-20,0.5,TEGM,531-94 A
36,-20,0.25,TEGM,531-94 A
36,-10,0.25,TEGM,531-94 A
36,-10,0,TEGM,531-94 A
36,-10,0,TEGM,531-94 A
36,4,0,TEGM,531-94 A
36,4,0,TEGM,531-94 A
36,4,0,TEGM,531-94 A
